aaCounter,Symbol,bClosed on Date,dTransaction Type,cBooks to Open on Date,eReason,hCountry of Incorporation,'gDR CUSIP,iReport Timestamp,jDepo
   200,PEPFY,2016-03-03,DR Issuance,To Be Announced,Termination of DR Facility,Switzerland,'716746102,2016-12-02 09:01:45.363000000,DEPO1
   201,PEPFY,2016-03-03,DR Cancellation,To Be Announced,Termination of DR Facility,Switzerland,'716746102,2016-12-02 09:01:45.363000000,DEPO1
   204,SHFGY,2016-02-25,DR Issuance,To Be Announced,Termination of DR Facility,China,'819423104,2016-12-02 09:01:45.363000000,DEPO1
   205,SZPRY,2016-02-25,DR Issuance,To Be Announced,Termination of DR Facility,China,'823220108,2016-12-02 09:01:45.363000000,DEPO1
   206,LGNRY,2016-02-24,DR Issuance,To Be Announced,Termination of DR Facility,Bermuda,'545850109,2016-12-02 09:01:45.363000000,DEPO1
   209,TKGBY,2016-02-08,DR Cancellation,To Be Announced,Certification Required,Turkey,'900148701,2016-12-02 09:01:45.363000000,DEPO1
   210,39IS,2016-02-08,DR Cancellation,To Be Announced,Certification Required,Turkey,'900148602,2016-12-02 09:01:45.363000000,DEPO1
   211,BKESY,2016-01-28,DR Issuance,To Be Announced,Suspension of Trading,Portugal,'059584102,2016-12-02 09:01:45.363000000,DEPO1
   212,MOTMY,2016-01-26,DR Issuance,To Be Announced,Depositary Discretion,Australia,'616346102,2016-12-02 09:01:45.363000000,DEPO1
   213,SNKTY,2016-01-25,DR Issuance,To Be Announced,Termination of DR Facility,United Kingdom,'45378C102,2016-12-02 09:01:45.363000000,DEPO1
   214,ONKMY,2016-01-22,DR Issuance,To Be Announced,Termination of DR Facility,Russia,'654918101,2016-12-02 09:01:45.363000000,DEPO1
   215,ILMCY,2016-01-14,DR Cancellation,To Be Announced,Delisted from Local Market,Australia,'449395102,2016-12-02 09:01:45.363000000,DEPO1
   216,ILMCY,2016-01-14,DR Issuance,To Be Announced,Delisted from Local Market,Australia,'449395102,2016-12-02 09:01:45.363000000,DEPO1
   217,HGVLY,2016-01-11,DR Issuance,To Be Announced,Termination of DR Facility,South Africa,'30050Y101,2016-12-02 09:01:45.363000000,DEPO1
